iter	Passed	Remaining
0	1	1084
1	1	978
2	2	954
3	3	925
4	4	917
5	5	908
6	6	892
7	7	886
8	8	891
9	8	887
10	9	878
11	10	875
12	11	870
13	12	868
14	14	943
15	15	934
16	16	930
17	16	920
18	17	912
19	18	904
20	19	900
21	20	898
22	20	891
23	21	887
24	22	884
25	23	880
26	24	876
27	25	871
28	25	869
29	26	865
30	28	906
31	30	913
32	31	916
33	32	912
34	33	913
35	33	909
36	34	904
37	35	901
38	36	898
39	37	894
40	38	890
41	38	888
42	39	885
43	40	884
44	41	882
45	43	905
46	44	908
47	45	907
48	46	909
49	47	910
50	48	911
51	49	911
52	51	912
53	52	912
54	53	912
55	53	908
56	54	905
57	55	902
58	56	898
59	57	904
60	59	913
61	60	910
62	61	908
63	61	905
64	62	903
65	63	900
66	64	896
67	65	894
68	66	892
69	67	890
70	67	888
71	68	886
72	69	883
73	70	880
74	71	878
75	73	892
76	74	890
77	75	888
78	76	886
79	76	883
80	77	881
81	78	879
82	78	872
83	79	870
84	80	867
85	81	865
86	82	863
87	83	861
88	83	858
89	84	853
90	85	851
91	86	850
92	87	849
93	88	853
94	89	851
95	90	848
96	91	847
97	91	844
98	92	843
99	93	841
100	94	839
101	95	837
102	96	836
103	96	834
104	97	832
105	98	830
106	99	828
107	100	827
108	101	826
109	103	834
110	104	835
111	105	833
112	105	831
113	106	829
114	107	827
115	108	825
116	109	824
117	110	823
118	110	821
119	111	819
120	112	818
121	113	816
122	114	815
123	115	814
124	116	812
125	118	818
126	118	817
127	119	815
128	120	814
129	121	813
130	122	812
131	123	810
132	124	809
133	124	807
134	125	805
135	126	804
136	127	802
137	128	800
138	129	802
139	130	803
140	133	812
141	134	811
142	135	810
143	136	812
144	137	812
145	138	812
146	139	811
147	140	810
148	141	810
149	142	809
150	143	808
151	144	806
152	145	805
153	147	809
154	148	808
155	149	806
156	149	805
157	150	804
158	151	803
159	152	801
160	153	800
161	154	798
162	155	797
163	156	795
164	157	794
165	157	793
166	158	792
167	159	790
168	160	789
169	162	793
170	163	792
171	164	790
172	165	789
173	166	788
174	166	786
175	167	786
176	168	784
177	169	783
178	170	781
179	171	780
180	172	779
181	173	778
182	173	776
183	174	775
184	175	774
185	177	777
186	178	776
187	179	774
188	180	773
189	181	771
190	181	770
191	182	769
192	183	767
193	184	766
194	185	765
195	186	765
196	188	766
197	188	765
198	189	764
199	190	762
200	233	928
201	234	928
202	236	928
203	237	926
204	238	924
205	239	922
206	241	926
207	243	925
208	244	924
209	245	923
210	246	923
211	248	922
212	249	920
213	250	920
214	252	920
215	253	919
216	254	917
217	256	920
218	257	918
219	258	916
220	259	914
221	260	912
222	261	912
223	263	913
224	264	912
225	266	911
226	266	909
227	267	907
228	269	905
229	271	908
230	272	906
231	273	904
232	273	901
233	274	899
234	275	896
235	276	894
236	277	892
237	278	890
238	278	887
239	279	885
240	280	883
241	281	880
242	282	878
243	282	876
244	283	874
245	284	872
246	286	873
247	287	871
248	288	869
249	289	868
250	290	865
251	290	863
252	291	861
253	292	859
254	293	857
255	294	855
256	295	853
257	296	851
258	296	849
259	297	847
260	298	844
261	299	843
262	301	844
263	302	842
264	303	841
265	305	841
266	306	841
267	307	840
268	309	840
269	310	839
270	311	838
271	313	837
272	314	837
273	317	840
274	318	839
275	319	838
276	321	838
277	322	837
278	323	836
279	324	835
280	325	833
281	326	832
282	327	830
283	328	829
284	331	832
285	333	831
286	334	830
287	335	829
288	336	828
289	338	827
290	339	826
291	340	826
292	342	825
293	343	823
294	344	822
295	346	824
296	347	823
297	348	821
298	349	820
299	350	818
300	351	817
301	352	815
302	354	814
303	355	813
304	356	812
305	358	812
306	359	811
307	362	813
308	363	812
309	364	811
310	365	810
311	367	809
312	368	808
313	369	807
314	370	806
315	372	805
316	373	804
317	376	807
318	378	807
319	380	807
320	381	807
321	383	807
322	384	806
323	386	805
324	387	804
325	388	803
326	389	802
327	391	802
328	393	801
329	394	800
330	395	799
331	396	798
332	397	796
333	398	795
334	400	794
335	401	792
336	402	791
337	403	790
338	405	791
339	407	791
340	409	791
341	410	790
342	412	790
343	413	789
344	415	788
345	416	787
346	417	786
347	418	784
348	421	786
349	422	785
350	424	784
351	425	783
352	426	781
353	427	780
354	428	779
355	429	777
356	431	776
357	432	774
358	433	773
359	435	773
360	436	772
361	437	771
362	438	770
363	440	769
364	441	767
365	442	766
366	443	765
367	444	764
368	446	763
369	447	761
370	448	760
371	450	760
372	451	759
373	453	758
374	454	757
375	455	756
376	457	755
377	458	754
378	459	753
379	461	752
380	462	751
381	463	750
382	465	749
383	466	748
384	467	747
385	469	746
386	470	744
387	471	743
388	472	742
389	474	741
390	475	740
391	476	739
392	477	738
393	479	738
394	481	736
395	482	735
396	483	734
397	484	733
398	486	732
399	487	731
400	488	730
401	490	729
402	491	727
403	492	727
404	494	726
