iter	Passed	Remaining
0	1	118
1	2	114
2	3	109
3	4	104
4	5	103
5	6	101
6	7	102
7	8	102
8	11	112
9	12	110
10	13	107
11	14	106
12	15	103
13	16	101
14	17	100
15	18	98
16	19	96
17	20	94
18	21	92
19	23	92
20	24	93
21	26	93
22	27	91
23	28	90
24	29	88
25	30	87
26	31	85
27	32	84
28	33	82
29	34	81
30	35	80
31	37	78
32	38	77
33	40	77
34	41	76
35	42	75
36	43	74
37	44	72
38	45	71
39	46	69
40	47	68
41	47	66
42	48	64
43	49	63
44	51	62
45	55	65
46	57	64
47	58	63
48	59	62
49	60	60
50	62	59
51	63	58
52	65	57
53	66	57
54	67	55
55	69	54
56	71	53
57	72	52
58	73	51
59	74	49
60	76	48
61	77	47
62	79	46
63	80	45
64	81	44
65	82	42
66	85	41
67	86	40
68	87	39
69	88	38
70	90	36
71	91	35
72	92	34
73	94	33
74	95	31
75	96	30
76	98	29
77	99	28
78	101	26
79	102	25
80	103	24
81	106	23
82	108	22
83	110	20
84	111	19
85	114	18
86	115	17
87	117	15
88	118	14
89	119	13
90	121	11
91	122	10
92	123	9
93	124	7
94	126	6
95	127	5
96	128	3
97	130	2
98	131	1
99	133	0
