iter	Passed	Remaining
0	1	122
1	2	112
2	3	106
3	4	97
4	5	111
5	7	113
6	8	109
7	12	139
8	13	135
9	14	129
10	15	125
11	16	122
12	18	121
13	20	124
14	21	123
15	22	119
16	26	130
17	28	128
18	29	125
19	30	121
20	31	118
21	32	115
22	33	113
23	34	110
24	35	107
25	37	105
26	38	103
27	41	107
28	43	106
29	44	104
30	46	102
31	47	100
32	48	99
33	49	96
34	51	95
35	52	93
36	53	90
37	58	94
38	59	92
39	60	91
40	62	89
41	64	88
42	65	86
43	66	84
44	67	82
45	69	81
46	72	82
47	74	80
48	75	78
49	77	77
50	78	75
51	80	74
52	81	72
53	82	70
54	84	68
55	88	69
56	89	67
57	90	65
58	92	63
59	93	62
60	94	60
61	95	58
62	97	57
63	98	55
64	99	53
65	101	52
66	102	50
67	103	48
68	104	46
69	104	44
70	105	43
71	106	41
72	107	39
73	108	38
74	109	36
75	110	34
76	111	33
77	111	31
78	112	30
79	116	29
80	118	27
81	119	26
82	120	24
83	121	23
84	122	21
85	123	20
86	124	18
87	125	17
88	126	15
89	126	14
90	127	12
91	130	11
92	132	9
93	133	8
94	133	7
95	134	5
96	135	4
97	136	2
98	137	1
99	138	0
